,Z,Var_tot_a,Var_A1_a,Var_A2_a,Var_A3_a,Var_A4_a,Var_tot_b,Var_A1_b,Var_A2_b,Var_A3_b,Var_A4_b,Var_tot_c,Var_A1_c,Var_A2_c,Var_A3_c,Var_A4_c,Var_tot_d,Var_A1_d,Var_A2_d,Var_A4_d,Var_A4_d,Std_tot_a,Std_A1_a,Std_A2_a,Std_A3_a,Std_A4_a,Std_tot_b,Std_A1_b,Std_A2_b,Std_A3_b,Std_A4_b,Std_tot_c,Std_A1_c,Std_A2_c,Std_A3_c,Std_A4_c,Std_tot_d,Std_A1_d,Std_A2_d,Std_A4_d,Std_A4_d
0,-5.0,5.6282715899858965e-11,4.8840888975232444e-14,7.97833903607407e-14,,4.6457360160999613e-14,3.7160359401171525e-11,6.073136738754316e-14,1.0021083957483498e-13,,5.485776531658873e-14,2.1637587894048987e-11,1.5983228254567732e-13,2.0095030185671572e-13,,1.5223239435981494e-13,1.457305489203212e-11,3.2277048292736574e-13,3.806065865042617e-13,3.306925598620715e-13,3.306925598620715e-13,8.496718638616397e-07,1.7245851143571967e-07,2.6989764769236885e-07,,1.9854246434072442e-07,1.4302996111855136e-06,2.438969972723914e-07,3.1322142882892575e-07,,2.3355397908503166e-07,1.4067129106025e-06,3.954702761705928e-07,4.480456038336083e-07,,3.898671119355103e-07,1.3544819271577115e-06,5.666394171464887e-07,6.16347959271175e-07,5.73804826641446e-07,5.73804826641446e-07
1,-7.0,7.410108735239306e-11,6.858127315497085e-14,1.237365389669123e-13,,5.981751653314043e-14,5.222610319992961e-11,9.37185088380816e-14,1.8762823999401177e-13,,8.057479678835644e-14,3.4698595473465714e-11,3.287423111806034e-13,4.564399801681345e-13,,3.121278944476266e-13,2.635199475502744e-11,8.298479537674622e-13,1.0177148950396821e-12,8.423304385272989e-13,8.423304385272989e-13,1.0190015379307815e-06,2.0311021800634485e-07,3.2792641236805906e-07,,2.2304709974942885e-07,1.7442190585106354e-06,3.009037186274621e-07,4.264097201270751e-07,,2.822844289140707e-07,1.8710796208868074e-06,5.665677357619167e-07,6.751691530943412e-07,,5.582088428893472e-07,1.9514590140392194e-06,9.083455932722048e-07,1.0077545032097115e-06,9.153957149663857e-07,9.153957149663857e-07
2,-9.0,6.715708131611643e-11,7.579475640843642e-14,1.5347355613455455e-13,,5.834190945707817e-14,4.825347123743228e-11,1.0108018626870121e-13,2.4658843944621433e-13,,7.966153085902149e-14,3.30872990522838e-11,3.4915602946922083e-13,5.531189916618558e-13,,3.29823840778219e-13,2.637453166004442e-11,9.500631399701763e-13,1.2361011358331137e-12,9.521890894082743e-13,9.521890894082743e-13,9.90101642237329e-07,2.1737506734762484e-07,3.594959592724482e-07,,2.2014434249318968e-07,1.7147080785597149e-06,3.1165041870252356e-07,4.869529720227232e-07,,2.8038610142021106e-07,1.8730363838462476e-06,5.83696954070684e-07,7.429244347707206e-07,,5.738318942183918e-07,2.0142686031633605e-06,9.717516562223984e-07,1.1105547688800258e-06,9.730858945890552e-07,9.730858945890552e-07
3,-11.1,4.81071677834342e-11,6.934655614310195e-14,1.5539580087357656e-13,,4.5833618263651007e-14,3.5051612675796496e-11,8.960911250690309e-14,2.5619907906835873e-13,,6.335406444710069e-14,2.4355923158803962e-11,2.817294895447805e-13,5.097799901334162e-13,,2.6355977347796754e-13,1.9702640750521106e-11,7.621290770479434e-13,1.0635355635582088e-12,7.520602638586485e-13,7.520602638586485e-13,8.696207822904616e-07,2.1254330590041087e-07,3.5735911628965106e-07,,1.9506362185292163e-07,1.509524780123841e-06,2.9273378414510444e-07,4.946636642872814e-07,,2.4983494550688124e-07,1.6462076294580498e-06,5.243563140772074e-07,7.12756420146055e-07,,5.129607827722407e-07,1.7794760967012926e-06,8.703105596374602e-07,1.0300461292933932e-06,8.64766707300578e-07,8.64766707300578e-07
4,-13.399999999999999,5.2998482641064536e-11,9.840537161479365e-14,2.392841583340459e-13,,5.504361586747069e-14,3.909776610603437e-11,1.2380381652453538e-13,3.9879519299227427e-13,,7.770886293121374e-14,2.7408778856059867e-11,3.482276803920215e-13,7.117576069325747e-13,,3.208010222216182e-13,2.2249824135827195e-11,9.078503598490894e-13,1.3640411738884867e-12,8.798140816587104e-13,8.798140816587104e-13,9.49329339106595e-07,2.5868489463732406e-07,4.3932339113622313e-07,,2.1370326548602255e-07,1.647288604470335e-06,3.4331650403592e-07,6.153866136626538e-07,,2.7646094463541914e-07,1.7866987718847772e-06,5.830689410049695e-07,8.415196779142595e-07,,5.659049878954885e-07,1.9254549294313637e-06,9.498884559520545e-07,1.1663942138882649e-06,9.353516319131323e-07,9.353516319131323e-07
5,-15.899999999999999,5.3423550715153625e-11,1.3057823616498409e-13,3.4009363455554554e-13,,6.045623853864199e-14,3.993648787117031e-11,1.605640773042408e-13,5.684352851335089e-13,,8.825135673393912e-14,2.8218961241955672e-11,3.9918441360830226e-13,9.176851935020869e-13,,3.5947303470429035e-13,2.2907633929734758e-11,9.858297522732205e-13,1.6066784001475258e-12,9.340990271349433e-13,9.340990271349433e-13,9.94726245178026e-07,3.042483133469844e-07,5.197286131683616e-07,,2.2389456187187659e-07,1.7219606140558483e-06,3.901399905673118e-07,7.328276527977523e-07,,2.9434747483987815e-07,1.8550626781802073e-06,6.243983544386736e-07,9.54589560113305e-07,,5.989817595339308e-07,1.9876107128821333e-06,9.898761882371591e-07,1.265663299670165e-06,9.638036507645263e-07,9.638036507645263e-07
6,-18.599999999999998,5.283713005221694e-11,1.7262359951642896e-13,4.749622591160181e-13,,6.517694059755638e-14,4.0018209419317784e-11,2.0844048105671337e-13,7.921569789767163e-13,,9.975886462541465e-14,2.8449705143147318e-11,4.565930161026267e-13,1.1697737403119101e-12,,3.9887954701007637e-13,2.3050860098356088e-11,1.0543829158876876e-12,1.873179177258723e-12,9.719481965975914e-13,9.719481965975914e-13,1.0366729893798216e-06,3.564188430046958e-07,6.104335368214178e-07,,2.3239600451305124e-07,1.7849465947857286e-06,4.436601023270561e-07,8.632060389495852e-07,,3.1265143539070067e-07,1.907976616716499e-06,6.67906840331538e-07,1.0765538907890877e-06,,6.308438564320524e-07,2.0299121661386213e-06,1.0237563812631777e-06,1.3662528775305963e-06,9.83159681610384e-07,9.83159681610384e-07
7,-21.499999999999996,4.677078976526361e-11,2.0640643334059637e-13,5.924917248479329e-13,,6.304235204802734e-14,3.5844756375862316e-11,2.4586909434324816e-13,9.832657959863901e-13,,1.0268814719391597e-13,2.562770462782838e-11,4.765815680391359e-13,1.3436080671437708e-12,,4.0106596829813893e-13,2.0712720608529656e-11,1.017707905096888e-12,1.9759993662677363e-12,9.07766268348257e-13,9.07766268348257e-13,1.0266563865775757e-06,3.9603091536668534e-07,6.785453015465122e-07,,2.2848191675404242e-07,1.7546516957330218e-06,4.810598587280211e-07,9.599473091566597e-07,,3.169057737999261e-07,1.8593674671754345e-06,6.824518822724792e-07,1.1523987650732152e-06,,6.323926851335416e-07,1.9624692330779727e-06,1.0058351831553268e-06,1.4027679907448197e-06,9.501504327139992e-07,9.501504327139992e-07
8,-24.599999999999998,4.893935709145029e-11,2.93931574222058e-13,8.711994422857176e-13,,7.243708332985861e-14,3.792753073448654e-11,3.4676697649646047e-13,1.4365978791346834e-12,,1.2745185313544516e-13,2.7255780114605365e-11,6.006391685237072e-13,1.8365351100250055e-12,,4.841486737318103e-13,2.1959824625032918e-11,1.1757085692137157e-12,2.4951461454024337e-12,1.0090741208938698e-12,1.0090741208938698e-12,1.111483170517805e-06,4.789428887679147e-07,8.198165672438569e-07,,2.4483163197265083e-07,1.8815395315478487e-06,5.705414566795714e-07,1.1585678216905737e-06,,3.527303537176611e-07,1.9756358692195875e-06,7.66178007758442e-07,1.3456632548295603e-06,,6.945380338576093e-07,2.0669701914800354e-06,1.0811352022976344e-06,1.5756341921837688e-06,1.0017424092892798e-06,1.0017424092892798e-06
9,-27.95,5.997046215730692e-11,4.903643941376841e-13,1.4886344833383021e-12,,9.765711781826202e-14,4.707314149848823e-11,5.747414468576011e-13,2.437875472315935e-12,,1.8822825560937727e-13,3.3965139406486575e-11,9.012606153745448e-13,2.9443473189934697e-12,,6.931613043306927e-13,2.7253416516189e-11,1.6079636383632058e-12,3.720857528996799e-12,1.3207251216535142e-12,1.3207251216535142e-12,1.3080169751252055e-06,6.254150038487005e-07,1.0687091578049957e-06,,2.841779627669197e-07,2.1890880443567544e-06,7.337572247393586e-07,1.5073682786242411e-06,,4.2828913197299877e-07,2.2769330527777217e-06,9.384967510105581e-07,1.7017992165000273e-06,,8.306080945644198e-07,2.3596504200939196e-06,1.2643744465912828e-06,1.9231413202190946e-06,1.1459562053900694e-06,1.1459562053900694e-06
